oncID	ONCpc2	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	F336W	e_F336W	f_F336W	F439W	e_F439W	f_F439W	F656N	e_F656N	f_F656N	F814W	e_F814W	f_F814W
11	1	83.562867	-5.383325	1	0	05 34 15.088	-05 22 59.97	21.3429	 0.1829	1	20.7107	 0.1641	1	17.0872	 0.0385	1	16.2458	 0.0193	1
12	2	83.56898699999999	-5.3823	1	0	05 34 16.557	-05 22 56.28	       	       	0	       	21.5216	2	       	19.3995	2	18.6440	 0.0772	1
13	3	83.571933	-5.376869	1	0	05 34 17.264	-05 22 36.73	22.0104	 0.1760	1	20.6517	 0.1028	1	17.2461	 0.0469	1	16.4892	 0.0214	1
14	4	83.572079	-5.379994	1	0	05 34 17.299	-05 22 47.98	21.4696	 0.1185	1	21.4937	 0.2097	1	16.9737	 0.0429	1	16.0760	 0.0175	1
15	5	83.593296	-5.37415	1	1	05 34 22.391	-05 22 26.94	21.9161	 0.1594	1	21.2905	 0.1492	1	17.1299	 0.0643	1	15.5635	 0.0147	1
16	6	83.576562	-5.381911	1	0	05 34 18.375	-05 22 54.88	       	21.9950	2	22.0014	 0.2726	1	18.5023	 0.0973	1	17.5885	 0.0432	1
17	7	83.586642	-5.391425	2	0	05 34 20.794	-05 23 29.13	16.9092	 0.0119	1	18.0673	 0.0248	1	14.5985	 0.0139	1	14.6187	 0.0119	1
17	7	83.586642	-5.391425	2	0	05 34 20.794	-05 23 29.13	19.6964	 0.0421	1	19.0211	 0.0370	1	15.3076	 0.0192	1	14.7453	 0.0124	1
18	9	83.603204	-5.369567	1	1	05 34 24.769	-05 22 10.44	18.7573	 0.0279	1	18.0260	 0.0237	1	14.7178	 0.0158	1	14.1085	 0.0114	1
19	10	83.610421	-5.389997	1	0	05 34 26.501	-05 23 23.99	20.4152	 0.0590	1	19.6294	 0.0475	1	15.3970	 0.0205	1	14.2740	 0.0115	1
